column,n_obs,first_date,last_date,missing_pct,stale_vs_dataset
USSWIT10 CURNCY,4156,2015-01-01,2026-05-18,0.0,False
USSWIT20 CURNCY,4156,2015-01-01,2026-05-18,0.0,False
USSWIT30 CURNCY,4156,2015-01-01,2026-05-18,0.0,False
FWISUS55 INDEX,4156,2015-01-01,2026-05-18,0.0,False
TOMOTCSO INDEX,4156,2015-01-01,2026-05-18,0.0,False
USRG1T CURNCY,4156,2015-01-01,2026-05-18,0.0,False
FARBRBFB INDEX,4156,2015-01-01,2026-05-18,0.0,False
BFCIUS INDEX,4156,2015-01-01,2026-05-18,0.0,False
NFCIINDX INDEX,4156,2015-01-01,2026-05-18,0.0,False
IBOXUMAE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
IBOXHYAE CBIN CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXEBE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXEXE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXESE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXEUE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXAJE CBIN CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXAGE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
ITRXAAE CBBT CURNCY,4156,2015-01-01,2026-05-18,0.0,False
IBOXUMSE CURNCY,4156,2015-01-01,2026-05-18,0.0,False
APORF30Y INDEX,4156,2015-01-01,2026-05-18,0.0,False
